"site","latitude","longitude"
"H4H002",-33.83037,19.78802
"H4H003",-33.69148,19.71829
"H4H004",-33.63149,19.67635
"H4H005",-33.76398,19.85107
"H4H006",-33.70732,19.46495
"H4H007",-33.63871,19.81385
"H4H008",-33.59649,19.76218
"H4H009",-34.01036,19.83802
"H4H010",-33.98925,19.81968
"H4H011",-33.8587,19.88107
"H4H012",-33.95425,19.58745
"H4H013",-33.86009,19.408
"H4H014",-33.76676,19.54412
"H4H015",-33.99333,19.81861
"H4H016",-33.93944,19.84055
"H4H017",-33.81805,19.69333
"H4H018",-33.86777,19.71611
"H4H019",-33.81666,19.79277
"H4H020",-33.71694,19.49111
"H5H002",-33.8887,20.01275
"H5H003",-34.03972,19.97777
"H5H004",-33.89777,20.01166
"H5H005",-34.00231,20.21275
"H6H001",-34.02619,19.20744
"H6H002",-34.00008,18.99938
"H6H003",-34.07758,19.29022
"H6H004",-34.04925,19.55967
"H6H005",-34.02888,19.55638
"H6H006",-33.9648,19.29161
"H6H007",-33.93869,19.17077
"H6H008",-34.0623,19.07244
"H6H009",-34.07888,20.14416
"H6H010",-33.98361,19.32916
"H6H011",-34.09591,19.12133
"H7H001",-34.07036,20.39026
"H7H002",-33.91676,20.74943
"H7H003",-34.00286,20.65638
"H7H004",-33.91055,20.71305
"H7H005",-33.98666,20.42166
"H7H006",-34.0675,20.40555
"H7H007",-34.02027,20.53583
"H8H001",-34.25166,20.99194
"H8H002",-34.01953,20.93388
"H9H002",-34.01138,21.20027
"H9H004",-34.015,21.28916
"H9H005",-34.0925,21.29416
"J1H002",-33.25012,20.96611
"J1H003",-33.75815,20.94778
"J1H004",-33.20235,20.85361
"J1H005",-33.29151,20.99028
"J1H006",-33.76371,21.13445
"J1H007",-33.56372,20.73555
"J1H008",-33.75816,21.46974
"J1H009",-33.82565,21.13556
"J1H010",-33.57205,20.70221
"J1H012",-33.65288,21.17417
"J1H013",-33.73649,21.17889
"J1H015",-33.35444,19.71944
"J1H016",-33.28833,19.7275
"J1H017",-33.76277,21.44083
"J1H018",-33.69388,21.14305
"J1H019",-33.74916,21.44444
"J2H001",-33.08347,21.94031
"J2H002",-33.53206,21.69252
"J2H003",-33.52622,21.64474
"J2H005",-33.48972,21.48944
"J2H006",-33.48972,21.48972
"J2H007",-33.49222,21.51416
"J2H008",-33.54594,21.6828
"J2H009",-32.90431,21.97642
"J2H010",-33.50222,21.62277
"J2H024",-33.08347,21.94031
"J3H001",-33.66955,22.42032
"J3H002",-33.38346,23.11507
"J3H003",-33.33485,22.53616
"J3H004",-33.47706,23.02951
"J3H005",-33.77927,22.3231
"J3H006",-33.18624,22.55533
"J3H007",-33.64233,22.19143
"J3H008",-33.53567,22.46616
"J3H009",-33.66233,21.77391
"J3H010",-33.76955,22.31504
"J3H011",-33.66,21.77305
"J3H012",-33.47567,22.54783
"J3H013",-33.36805,22.17944
"J3H014",-33.42111,22.24083
"J3H015",-33.42583,22.25416
"J3H016",-33.54527,22.97388
"J3H017",-33.67916,22.14
"J3H018",-33.4675,22.00055
"J3H019",-33.49345,21.99892
"J3H020",-33.46111,21.96027
"J3H021",-33.47484,23.02256
"J3H023",-33.47706,23.02951
"J3H032",-33.4104,22.28171
"J3H036",-33.66955,22.42032
"J3H039",-33.38346,23.11507
"J3H040",-33.33485,22.53616
"J3H042",-33.57555,22.58222
"J3H043",-33.5775,22.53472
"J4H001",-34.18564,21.75308
"J4H002",-33.98027,21.65333
"J4H003",-34.03111,21.58638
"J4H004",-33.98759,21.77641
"K1H001",-34.10314,22.07142
"K1H002",-33.93527,22.13083
"K1H003",-34.10509,22.03864
"K1H004",-34.03166,22.05277
"K1H005",-34.03944,22.13222
"K1H018",-33.93555,22.13138
"K2H001",-33.93343,22.16726
"K2H002",-34.02861,22.22194
"K2H003",-34.01472,22.19555
"K3H001",-33.97111,22.5475
"K3H002",-33.93777,22.46083
"K3H003",-34.00666,22.35027
"K3H004",-33.95111,22.4225
