,obsnm,station_name,gauge_id,mggvcd,bbsncd,sbsncd,obsopndt,obskdcd,river,area,rvwdt,bedslp,rvmjctdis,wsrdis,addr,longitude_dms,latitude_dms,tmx,tmy,altitude,wltel,tdeyn,mxgrd,sistartobsdh,siendobsdh,olstartobsdh,olendobsdh,longitude,latitude,country,source
653,진주시(덕천교),Jinjusi(Deokcheongyo),2018688,기후에너지환경부,낙동강,201814,2023-01-09,T/M,덕천강,,,,,,경상남도 진주시 수곡면  원내리 268-1  덕천교,127-57-28,35-9-28  ,287267,185019,41.124,,N,,2023010900,2025111001,20230108,20251110,127.95777777777778,35.157777777777774,South Korea,WAMIS Open API
654,진주시(내평리),Jinjusi(Naepyungri),2018690,한국수자원공사,낙동강,201814,1994-11-01,T/M,덕천강,2293.4,0,0,80,0,경상남도 진주시 나동면 내평리,128-01-16,35-09-04 ,293045,184337,28.5,47.69,N,47,1987060120,2025111001,19870601,20251110,128.0211111111111,35.151111111111106,South Korea,WAMIS Open API
655,사천시(검정리),Sachunsi(Gumjungri),2018692,한국수자원공사,낙동강남해,250104,1997-07-01,T/M,가화천,115.6,0,0,.4,0,경상남도 사천시 곤양면 검정리 47-1,128-01-58,35-4-50  ,294190,176520,-1.4,3.115,Y,10,1987060120,2025111001,19870601,20251110,128.0327777777778,35.080555555555556,South Korea,WAMIS Open API
656,진주시(판문동),Jinjusi(Panmundong),2018695,한국수자원공사,낙동강,201814,1994-11-01,T/M,남강,2293.4,0,0,80,0,경상남도 진주시 판문동,128-01-47,35-10-35 ,293801,187149,26.5,,N,47,1987060120,2025111001,19870601,20251110,128.02972222222223,35.17638888888889,South Korea,WAMIS Open API
657,진주시(남강댐방수로),Jinjusi(Namgangdambangsuro),2018698,한국수자원공사,낙동강,201901,1994-11-01,T/M,남강,2293.4,0,0,78,0,경상남도 진주시 내동면 삼계리 1088,128-02-07,35-09-40 ,294325,185460,,,N,10,1987060120,2025111001,19870601,20251110,128.03527777777776,35.16111111111111,South Korea,WAMIS Open API
658,고성군(두문교),Goseonggun(Dumungyo),2019610,기후에너지환경부,낙동강,201902,2009-01-01,T/M,영천강,133.73,,,14.6,,경상남도 고성군 영오면 오서리 1611-1 (두문교),128-11-27,35-05-55 ,308581,178684,33.21,40.6,N,9,2008121600,2025111001,20081215,20251110,128.19083333333333,35.09861111111111,South Korea,WAMIS Open API
659,진주시(장대동),Jinjusi(Jangdaedong),2019615,한국수자원공사,낙동강,201901,1987-06-01,T/M,남강,237.0,0,0,71,0,경상남도 진주시 장대동 진주교,128-05-12,35-11-25 ,298972,188746,18.3,26.282,N,7,1987060120,2025111001,19890701,20251110,128.08666666666667,35.19027777777777,South Korea,WAMIS Open API
660,함안군(송도교),Hamangun(Songdogyo),2019620,기후에너지환경부,낙동강,201910,2015-01-01,T/M,남강,3416.56,,,4.88,,경상남도 함안군 대산면 구혜리 927-1 (송도교),128-24-57,35-21-38 ,328691,208013,-0.1,14.03,N,10,2015010100,2025111001,20141231,20251110,128.41583333333335,35.36055555555556,South Korea,WAMIS Open API
661,진주시(옥산교),Jinjusi(Oksangyo),2019625,기후에너지환경부,낙동강,201902,2017-01-01,T/M,영천강,178.52,160,,4.74,,경상남도 진주시 문산읍 옥산리 39-2(옥산교),128-09-23,35-09-48 ,305332,185797,16.433,27.839,N,,2017010100,2025111001,20161231,20251110,128.1563888888889,35.163333333333334,South Korea,WAMIS Open API
662,의령군(백곡교),Uiryeonggun(Baekgokgyo),2019630,기후에너지환경부,낙동강,201908,2025-01-01,T/M,남강,3165.63,,,14.24,,경상남도 의령군 정곡면  백곡리 202-2,128-21-58,35-20-21 ,324197,205580,1.934,18.174,N,,2025010100,2025111001,20241231,20251110,128.3661111111111,35.33916666666667,South Korea,WAMIS Open API
663,진주시(덕오리),Jinjusi(Deogori),2019635,기후에너지환경부,낙동강,201903,2007-01-26,T/M,남강,2658.61,,,57.6,,경상남도 진주시 집현면 덕오리 22-2,128-08-13,35-14-15 ,303491,194036,12.11,22.391,N,8,2007012622,2025111001,20070126,20251110,128.13694444444442,35.237500000000004,South Korea,WAMIS Open API
664,진주시(월강교),Jinjusi(Wolganggyo),2019640,기후에너지환경부,낙동강,201903,2010-01-01,T/M,남강,2756.47,,,51.6,,경상남도 진주시 진성면 가진리 1718  (월강교),128-11-56,35-13-21 ,309150,192438,10.727,24.505,N,10,2011010100,2025111001,20101231,20251110,128.1988888888889,35.222500000000004,South Korea,WAMIS Open API
665,진주시(장박교),Jinjusi(Jangbakgyo),2019647,기후에너지환경부,낙동강,201905,2013-01-01,T/M,남강,,,,49,,경상남도 진주시 지수면 청담리 1684-1 (장박교),128-16-20,35-15-23 ,315779,196281,4.711,22.02,N,11,2013010100,2025111001,20121231,20251110,128.27222222222224,35.256388888888885,South Korea,WAMIS Open API
666,의령군(어은동교),Uiryeonggun(Eoeundonggyo),2019650,기후에너지환경부,낙동강,201907,2025-01-01,T/M,의령천,34.02,,,9.62,,경상남도 의령군 가례면  대천리 산 1,128-13-45,35-19-28 ,311767,203783,30.894,39.752,N,,2025010100,2025111001,20241231,20251110,128.22916666666666,35.324444444444445,South Korea,WAMIS Open API
667,서암,Seoam,2019651,한국농어촌공사,낙동강,201907,2012-11-16,T/M,,13.8,,,5.22,,경상남도 의령군 가례면 괴진리 산19-10,128-14-35,35-21-47 ,312976,208083,,,N,,,,,,128.24305555555554,35.363055555555555,South Korea,WAMIS Open API
668,진주시(방촌2교),Jinjusi(Bangchon2gyo),2019652,기후에너지환경부,낙동강,201904,2025-01-01,T/M,반성천,97.41,,,4.25,,경상남도 진주시 사봉면  방촌리 357,128-15-05,35-11-44 ,313968,189508,10.469,21.903,N,,2025010100,2025111001,20241231,20251110,128.2513888888889,35.19555555555555,South Korea,WAMIS Open API
669,의령군(공단교),Uiryeonggun(Gongdangyo),2019653,기후에너지환경부,낙동강,201907,2016-01-01,T/M,의령천,77.91,80,,4.01,,경상남도 의령군 의령읍 동동리 845-2(공단교),128-16-07,35-19-02 ,315364,203027,8.792,16.189,N,,2016010100,2025111001,20151231,20251110,128.2686111111111,35.31722222222223,South Korea,WAMIS Open API
670,의령군(정암교),Uiryeonggun(Jeongamgyo),2019655,기후에너지환경부,낙동강,201905,1922-08-01,T/M,남강,2990.66,350,1430,26.68,-27.5,경상남도 의령군 의령읍 정암리 430-43 ((구)정암교),128-17-43,35-18-48 ,317794,202627,6.04,18.16,N,13,1916062418,2025111001,19551013,20251110,128.29527777777778,35.31333333333333,South Korea,WAMIS Open API
671,함안군(용암교),Hamangun(Yongamgyo),2019665,기후에너지환경부,낙동강,201906,2025-01-01,T/M,석교천,60.96,,,1.75,,경상남도 함안군 군북면  월촌리 127-1,128-19-06,35-18-32 ,319898,202161,5.362,17.129,N,,2025010100,2025111001,20241231,20251110,128.31833333333333,35.30888888888889,South Korea,WAMIS Open API
672,함안군(서촌리),Hamangun(Seochonri),2019680,기후에너지환경부,낙동강,201909,2006-01-25,T/M,함안천,155.11,80,,.52,,경상남도 함안군 대산면 서촌리 1446 (악양교 하류),128-24-02,35-19-54 ,327340,204791,3.041,18.66,N,15,2006011216,2025111001,20060112,20251110,128.40055555555557,35.33166666666667,South Korea,WAMIS Open API
673,함안군(대사교),Hamangun(Daesagyo),2019685,기후에너지환경부,낙동강,201909,2016-12-29,T/M,함안천,48.38,,,10.58,,경상남도 함안군 함안면 대산리 1242-2(대사교),128-25-32,35-15-18 ,329736,196317,20.46,27.91,N,,2017010100,2025111001,20161231,20251110,128.42555555555555,35.255,South Korea,WAMIS Open API
