gauge_id,station_name,river,latitude,longitude,area,altitude,source,country
0-203-1-112600,Pořešín,Malše,48.7825623,14.5184467,436.57,,CHMI Open Data,Czech Republic
0-203-1-121000,Kosky-Hamr,Koštěnický potok,48.9512043,14.8842048,168.16,,CHMI Open Data,Czech Republic
0-203-1-135000,Modrava,Vydra,49.0255076,13.4969018,89.75,,CHMI Open Data,Czech Republic
0-203-1-183000,Štěnovice,Úhlava,49.6768049,13.4027498,892.79,,CHMI Open Data,Czech Republic
0-203-1-198400,Loděnice,Loděnice,49.9931193,14.1607331,252.97,,CHMI Open Data,Czech Republic
0-203-1-210900,Teplička,Teplá,50.1534111,12.845766,256.23,,CHMI Open Data,Czech Republic
0-203-1-258100,Mnichov,Černá Opava,50.1507738,17.3729377,50.84,,CHMI Open Data,Czech Republic
0-203-1-270000,Velká Štáhle,Moravice,49.9325301,17.3518441,168.69,,CHMI Open Data,Czech Republic
0-203-1-303000,Věřňovice,Olše,49.9310031,18.4189955,1077.23,,CHMI Open Data,Czech Republic
0-203-1-352000,Albrechtice,Moravská Sázava,49.9370842,16.6427527,35.77,,CHMI Open Data,Czech Republic
0-203-1-364000,Šternberk,Sitka,49.7305682,17.2955886,65.16,,CHMI Open Data,Czech Republic
0-203-1-386000,Rožnov pod Radhoštěm,Rožnovská Bečva,49.4585605,18.127375,160.28,,CHMI Open Data,Czech Republic
0-203-1-397000,Polkovice,Romže,49.3998385,17.2536699,433.47,,CHMI Open Data,Czech Republic
0-203-1-410000,VD Fryšták,Fryštácký potok,49.2623637,17.6930118,44.24,,CHMI Open Data,Czech Republic
0-203-1-452000,Rozhraní,Svitava,49.6003942,16.5314032,227.56,,CHMI Open Data,Czech Republic
0-203-1-462000,Židlochovice,Svratka,49.0363001,16.616052,3937.78,,CHMI Open Data,Czech Republic
0-203-1-169500,VD Lučina,Mže,49.8058255,12.5835926,104.73,,CHMI Open Data,Czech Republic
0-203-1-447000,Dolní Loučky,Bobrůvka,49.3569447,16.3595688,385.53,,CHMI Open Data,Czech Republic
0-203-1-265000,Krnov,Opavice,50.097194,17.6944896,172.06,,CHMI Open Data,Czech Republic
0-203-1-457000,Bílovice nad Svitavou,Svitava,49.245462,16.6750168,1120.18,,CHMI Open Data,Czech Republic
0-203-1-459000,Brankovice,Litava,49.1534786,17.1350904,71.9,,CHMI Open Data,Czech Republic
0-203-1-137000,Rejštejn,Otava,49.139431,13.5082978,333.5,,CHMI Open Data,Czech Republic
0-203-1-406000,Slušovice,Dřevnice,49.2529652,17.8009602,66.21,,CHMI Open Data,Czech Republic
0-203-1-272300,VD Slezská Harta,Moravice,49.8874207,17.5844932,465.71,,CHMI Open Data,Czech Republic
0-203-1-171000,Planá,Hamerský potok,49.8619459,12.7184467,119.42,,CHMI Open Data,Czech Republic
0-203-1-381000,VD Bystřička,Bystřice,49.4190096,18.0187786,64.01,,CHMI Open Data,Czech Republic
0-203-1-470000,Dolní Bory,Oslava,49.4225286,15.985562,210.27,,CHMI Open Data,Czech Republic
0-203-1-299000,Český Těšín,Olše,49.7179911,18.6283954,384.23,,CHMI Open Data,Czech Republic
0-203-1-314000,Proseč nad Nisou,Lužická Nisa,50.7230068,15.1300532,53.7,,CHMI Open Data,Czech Republic
0-203-1-316000,Liberec,Lužická Nisa,50.7680952,15.0519722,121.99,,CHMI Open Data,Czech Republic
0-203-1-437600,Jevišovice nad nádrží,Jevišovka,48.9883651,15.9539788,127.1,,CHMI Open Data,Czech Republic
0-203-1-161600,Radětín,Bělá,49.4544964,15.2365415,106.03,,CHMI Open Data,Czech Republic
0-203-1-196700,Hředle,Stroupínský potok,49.9020731,13.9220275,99.82,,CHMI Open Data,Czech Republic
0-203-1-152000,Dolní Ostrovec,Lomnice,49.4200324,14.1191875,391.13,,CHMI Open Data,Czech Republic
0-203-1-153000,Varvažov,Skalice,49.4396935,14.1280699,369.1,,CHMI Open Data,Czech Republic
0-203-1-252700,Velké Albrechtice,Bílovka,49.7459485,18.0692449,56.38,,CHMI Open Data,Czech Republic
0-203-1-144000,Strakonice,Otava,49.2654468,13.9156649,1717.24,,CHMI Open Data,Czech Republic
0-203-1-034500,Třebovice,Třebovka,49.8549948,16.4988828,84.02,,CHMI Open Data,Czech Republic
0-203-1-282000,Morávka,Skalka,49.561936,18.5524475,18.75,,CHMI Open Data,Czech Republic
