gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,provider,vertical_datum
K08_018,Leuven/Dijle 5e arm,Dijle Vijfde Arm,50.881890295932,4.69714628675702,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_019,Leuven/Dijle-Vunt,Vunt,50.8831108625985,4.69977525104655,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_020,Rotselaar/Dijle,Dijle,50.946537378901,4.70237246859023,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_030,Muizen/Barebeek,Barebeek,51.0084369278813,4.52720646389033,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_040,Bonheiden/Vrouwvliet,Vrouwvliet,51.0333504552011,4.51005425559212,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_042,Mechelen/Vrouwvliet,Vrouwvliet,51.0485566074973,4.4488112291983,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_050,Diegem/Woluwe,Woluwe,50.8916058938465,4.44812491620404,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_052,Machelen/Woluwe,Toevoerkanaal wbekken Trawool,50.913439889053,4.43253204919418,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_060,Lembeek/Zenne,Zenne,50.7140071719664,4.22955513921067,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_065,Lot/Zenne,Zenne,50.7648218921208,4.27166318739828,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_070,Sint-Pieters Leeuw/Zuunbeek,Zuunbeek,50.8095207443429,4.29753869861233,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_075,St-Pieters-Leeuw/Zuunbeek,Zuunbeek,50.7937770682358,4.26983661970379,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_076,St-Pieters-Leeuw/Zuunbeek,Zuunbeek,50.7939662082262,4.27030431758646,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_080,St-Pieters-Leeuw/Zuunbeek,Zuunbeek,50.7834942961154,4.24304314164528,,,Belgium,Flemish Environment Agency - VMM,vmm,
K08_081,St-Pieters-Leeuw/Zuunbeek,Zuunbeek,50.7838728929911,4.24399230171702,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_001,Linkhout/Stuw K7,Demer,50.9680494961353,5.16430304924004,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_002,Schulen/Inlaat A,Demer,50.9674926836399,5.16779867746614,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_003,Linkhout/Doorlaat D,Zwartwater,50.9586387237821,5.13252666386413,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_004,Linkhout/Uitlaat E,Zwartwater,50.9579448789113,5.12206207881958,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_005,Webbekom/Doorlaat K30,Grote Leigracht,50.9762214739582,5.07656261094029,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_006,Schaffen/Stuw K31,Demer,50.9848123596307,5.07514154766775,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_007,Zelem/Stuw K18,Velpe,50.9658966695971,5.08917494018642,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_008,Zelem/Inlaat K19,Velpe,50.9662217285232,5.08806097439327,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_009,Webbekom/Stuw K24A,Leugebeek,50.974910589246,5.07285636948014,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_010,Webbekom/Stuw K24B,Leugebeek,50.9749186393441,5.07301311744464,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_011,Webbekom/Stuw K7,Begijnebeek,50.963623832417,5.04460035560977,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_012,Webbekom/Stuw K7,Leugebeek,50.963578314912,5.0446993460764,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_013,Schaffen/Uitlaat K29,WB Webbekomsbroek,50.9891271099729,5.07067875979025,,,Belgium,Flemish Environment Agency - VMM,vmm,
K09_014,Linkhout/Schuif Houwersbeek,Houwersbeek,50.9576304034961,5.12245698816104,,,Belgium,Flemish Environment Agency - VMM,vmm,
