,gauge_id,station_name,river,altitude,area,xrkko08,yhkko09,latitude,longitude
732,202671,Tristach (Seepegel),Tristacher See,819.62,1.7,359190.7,323261.22,46.8077273256035,12.797841413068905
733,212217,Obernußdorf,Debantbach,1169.17,56.8,361628.63,329590.02,46.86481909858302,12.829248088399428
734,212324,Oberdrauburg Ort,Drau,616.1,2108.0,372510.61,316522.61,46.747790866145,12.972806338598948
735,213660,Dellach,Drau,599.73,2195.0,380616.78,314913.29,46.73360186193794,13.078985432068894
736,212357,Sachsenburg Süd,Drau,555.02,2558.0,401265.68,325151.06,46.82601133538121,13.349231231737708
737,213926,Heiligenblut-Winkl,Möll,1229.77,142.5,362724.74,348722.08,47.037026392697626,12.842031347294181
738,212373,Winklern,Möll,878.14,412.7,366069.79,331597.25,46.883125252507185,12.887357557481531
739,213124,Flattach,Möll,687.15,706.1,385112.39,337105.86,46.93340484815995,13.137073144564312
740,213546,Jamnigalm-Brücke,Tauernbach-Mallnitz,1755.0,10.1,382706.29,344865.58,47.00316544750814,13.105164544356784
741,212381,Mallnitz,Mallnitzbach,1173.92,85.3,387936.65,342551.18,46.98245995174814,13.174022356041146
742,213447,Zandlacher Hütte,Riekenbach,1495.0,16.1,398481.46,335146.26,46.915944931267575,13.312692718480326
743,212399,Kolbnitz-Verbund,Möll,607.89,1046.8,397669.08,330620.65,46.87522146891797,13.302051149584683
744,213199,Drauhofen,Drau,547.07,3671.0,404181.49,325104.09,46.825577839647906,13.387454806314832
745,213207,Gries,Lieser,1178.49,56.8,420122.43,347872.77,47.030159712306336,13.597432000179044
