gauge_id,gauge_name,river,area,gauge_altitude,latitude,longitude
150160150,BYSTRZYCA KŁODZKA,Bystrzyca (1214),64.69,339.728,50.29637083333333,16.648576388888888
150160160,MIETKÓW,Bystrzyca (134),717.93,152.782,50.96842194444445,16.650556666666667
150160170,BYSTRZYCA KŁODZKA,Nysa Kłodzka (12),262.73,337.823,50.293482777777776,16.648335
150160180,KŁODZKO,Nysa Kłodzka (12),1082.27,281.617,50.442363888888885,16.65855388888889
150160190,MIĘDZYLESIE,Nysa Kłodzka (12),51.4,425.062,50.15541944444444,16.66417472222222
150160200,ŻELAZNO,Biała Lądecka (1216),303.34,316.849,50.37302472222223,16.673857222222225
150160210,WILKANÓW,Wilczka (1212),47.2,362.801,50.26534222222222,16.66230138888889
150160220,BARDO,Nysa Kłodzka (12),1742.79,256.202,50.504354444444445,16.7395925
150160230,LĄDEK-ZDRÓJ,Biała Lądecka (1216),162.87,420.646,50.34667833333334,16.870399722222224
150160240,BOLESŁAWÓW,Kamienica (121624),14.4,555.169,50.25952861111111,16.890100277777776
150160250,BIAŁOBRZEZIE,Ślęza (1336),176.98,159.632,50.80230861111111,16.892197499999998
150160260,BOLESŁAWÓW,Morawka (12162),16.94,550.127,50.25964555555556,16.891220833333332
150160270,KAMIENIEC ZĄBKOWICKI,Budzówka (1232),218.16,238.113,50.532136944444446,16.865012500000002
150160280,BORÓW,Ślęza (1336),553.69,136.125,50.88887388888889,16.990524722222222
150160290,GNIECHOWICE,Czarna Woda (1346),249.36,138.153,50.9873725,16.829039166666668
150169991,BORÓW,Mała Ślęza (13364),203.69,137.8,50.8803225,16.984492222222222
150169992,BYCZEŃ,Nysa Kłodzka (12),-999.0,231.11,50.51246027777778,16.91017638888889
150169994,PIESZYCE,Pieszycki Potok (13444),19.37,283.896,50.721705,16.589209722222222
150169995,DOBROMIERZ,Strzegomka (1348),81.02,268.193,50.91029555555556,16.24392388888889
150169996,BOLKÓW,Nysa Szalona (1384),48.71,303.671,50.92414722222222,16.099043888888886
150169997,KRZESZÓW,Zadrna (1614),72.99,455.267,50.734458333333336,16.0723375
150169998,JACZKÓW,Lesk (1616),102.62,436.935,50.80477472222222,16.0853725
150169999,SĘDZISŁAW,Bóbr (16),426.26,422.449,50.81952777777778,16.04513888888889
150170010,ZBOROWICE,Oława (1334),566.77,146.135,50.80550972222222,17.17069
150170020,KARSZÓWEK,Krynka (13342),229.42,161.01,50.7575525,17.17261277777778
150170030,OŁAWA,Oława (1334),951.75,124.902,50.947786666666666,17.292776944444444
150170040,OŁAWA,Odra (1),19779.66,122.079,50.94636916666666,17.30632277777778
150170050,BIAŁA NYSKA,Biała Głuchołaska (12598),398.68,196.367,50.43360388888888,17.297363055555557
150170060,NYSA,Nysa Kłodzka (12),3280.54,179.376,50.48110527777778,17.341580277777776
150170070,GŁUCHOŁAZY,Biała Głuchołaska (12598),284.83,281.466,50.316069444444445,17.37946388888889
150170080,JARNOŁTÓWEK,Złoty Potok (117644),39.32,351.034,50.28596305555556,17.4280675
150170090,BRZEG,Odra (1),19684.96,129.188,50.86557166666667,17.469476666666665
150170100,KOPICE,Nysa Kłodzka (12),3771.64,154.289,50.64563055555556,17.478278611111108
150170110,PRUDNIK,Prudnik (11764),147.1,250.034,50.31936222222223,17.588491666666666
150170120,NIEMODLIN,Ścinawa Niemodlińska (128),265.26,154.97,50.64552583333333,17.624404166666668
150170130,UJŚCIE NYSY KŁODZKIEJ,Odra (1),13428.46,135.682,50.81825166666667,17.661050277777775
150170140,SKOROGOSZCZ,Nysa Kłodzka (12),4487.8,140.022,50.76185,17.674993055555557
150170150,KARŁOWICE,Stobrawa (132),937.36,140.186,50.87853472222222,17.72156083333333
150170160,BRANICE,Opawa (112),603.93,287.037,50.05116055555556,17.769528055555554
150170170,BRANICE,Boczne Koryto Opawy (112374),0.11,286.185,50.051380277777774,17.77185611111111
150170180,RACŁAWICE ŚLĄSKIE,Osobłoga (1176),494.88,195.367,50.31529722222222,17.788979166666667
150170200,DOMARADZ,Bogacica (1324),224.18,151.442,50.9542775,17.864361111111112
150170210,KRZYWA GÓRA,Budkowiczanka (1328),232.08,152.582,50.86078111111111,17.87870722222222
150170220,DOBRA,Biała (11768),353.99,165.711,50.448076388888886,17.897077777777778
150170230,OPOLE,Odra (1),10947.21,147.116,50.669845,17.91667027777778
150170240,KRAPKOWICE,Odra (1),10713.59,155.648,50.47714388888889,17.96806222222222
150170290,OPOLE-GROSZOWICE,Odra (1),10934.26,147.28,50.63412083333333,17.938379444444443
150179995,KOMORNIKI,Osobłoga (1176),597.22,167.869,50.43425333333333,17.89846138888889
150179996,WAPIENNIKI,Stobrawa (132),1019.53,136.364,50.85986777777778,17.690068333333333
150179997,OPAWICA,Opawica (1122),94.21,366.061,50.152812777777775,17.60198027777778
150179998,PRZEWORNO,Krynka (13342),161.49,177.381,50.69291055555555,17.173722222222224
150179999,OSINA MAŁA,Oława (1334),29.03,224.889,50.57503583333334,17.042194444444448
150180010,KAMIONKA,Stradunia (1174),270.85,168.466,50.39112472222222,18.042457222222225
150180020,TURAWA,Mała Panew (118),1421.12,160.42,50.73985805555556,18.076572777777777
150180030,KOŹLE,Odra (1),9043.98,162.597,50.3518075,18.146721944444444
150180040,BOJANÓW,Psina (1152),520.57,195.779,50.03047611111111,18.154288333333334
150180050,OZIMEK,Mała Panew (118),1187.29,175.852,50.67908444444444,18.203913888888888
150180060,RACIBÓRZ-MIEDONIA,Odra (1),6730.63,176.347,50.12202277777778,18.22973111111111
150180070,LENARTOWICE,Kłodnica (116),974.35,172.503,50.35743888888889,18.23553777777778
150180080,GRABÓWKA,Bierawka (1158),371.24,176.694,50.28443361111111,18.275871944444443
150180090,NĘDZA,Sumina (11568),92.05,186.345,50.15782805555556,18.31056694444445
150180100,STANISZCZE WIELKIE,Mała Panew (118),1098.3,186.617,50.66334944444444,18.34248722222222
150180110,RUDA KOZIELSKA,Ruda (1156),382.62,192.715,50.20485805555556,18.40173833333333
150180120,TWORÓG MAŁY,Bierawka (1158),212.52,202.065,50.25671027777778,18.466800555555555
150180130,RYBNIK-STODOŁY,Ruda (1156),310.02,207.583,50.15428694444444,18.48302194444444
150180140,RYBNIK,Nacyna (115654),63.71,221.671,50.10259611111111,18.532935
150180150,PYSKOWICE-DZIERŻNO,Kłodnica (116),525.54,191.608,50.379777777777775,18.543043611111116
150180160,PYSKOWICE-DZIERŻNO,Drama (1166),181.56,191.608,50.38236777777778,18.54316833333333
